Date,DailyRevenue,DailyOrders,DailyCustomers,DailyQuantity,AvgOrderValue,DayNumber
2011-06-10,58101.12,44,41,9825,1320.48,149
2011-06-12,12382.210000000001,38,38,9483,325.8476315789474,150
2011-06-13,19217.74,52,49,10630,369.5719230769231,151
2011-06-14,33334.08,52,42,12971,641.0400000000001,152
2011-06-15,44831.54,50,42,29518,896.6308,153
2011-06-16,31941.77,81,74,19623,394.3428395061728,154
2011-06-17,18963.23,46,35,11343,412.2441304347826,155
2011-06-19,22340.18,60,57,15077,372.33633333333336,156
2011-06-20,25704.73,59,49,14849,435.6733898305085,157
2011-06-21,19751.66,48,45,13121,411.49291666666664,158
2011-06-22,20353.42,56,54,15283,363.45392857142855,159
2011-06-23,22333.56,69,64,14020,323.6747826086957,160
2011-06-24,15811.710000000001,45,40,9059,351.3713333333334,161
2011-06-26,6934.49,26,24,3782,266.7111538461538,162
2011-06-27,13394.2,35,31,9162,382.6914285714286,163
2011-06-28,29914.37,48,40,20924,623.2160416666667,164
2011-06-29,12560.83,39,36,7465,322.0725641025641,165
2011-06-30,41602.04,65,55,20497,640.0313846153846,166
2011-07-01,12134.29,42,35,7450,288.9116666666667,167
2011-07-03,6032.39,25,24,3117,241.2956,168
2011-07-04,30493.59,35,30,12063,871.2454285714285,169
2011-07-05,25832.260000000002,64,58,17630,403.62906250000003,170
2011-07-06,22733.63,66,61,17801,344.4489393939394,171
2011-07-07,27681.66,73,67,17643,379.20082191780824,172
2011-07-08,17356.35,45,42,10149,385.69666666666666,173
2011-07-10,5987.57,24,20,4251,249.48208333333332,174
2011-07-11,19869.21,48,43,14124,413.941875,175
2011-07-12,17742.19,45,41,11532,394.27088888888886,176
2011-07-13,19091.85,55,49,15274,347.12454545454545,177
2011-07-14,31592.49,68,61,17091,464.5954411764706,178
2011-07-15,11091.47,36,33,6358,308.0963888888889,179
2011-07-17,16904.6,50,45,10828,338.092,180
2011-07-18,21449.72,45,44,12710,476.66044444444447,181
2011-07-19,46388.04,62,57,28388,748.1941935483871,182
2011-07-20,26436.55,52,46,15392,508.3951923076923,183
2011-07-21,30100.71,70,59,19588,430.01014285714285,184
2011-07-22,14441.77,37,34,8326,390.3181081081081,185
2011-07-24,26704.02,57,53,17572,468.49157894736845,186
2011-07-25,19145.31,52,49,14254,368.1790384615385,187
2011-07-26,17256.5,45,43,12641,383.47777777777776,188
2011-07-27,22642.32,44,39,13223,514.5981818181818,189
2011-07-28,53946.37,78,68,29688,691.6201282051283,190
2011-07-29,17186.61,62,57,11216,277.2033870967742,191
2011-07-31,32990.43,41,37,20814,804.6446341463414,192
2011-08-01,19450.4,38,34,11301,511.8526315789474,193
2011-08-02,20083.1,41,39,14213,489.83170731707315,194
2011-08-03,26482.77,62,59,16138,427.1414516129032,195
2011-08-04,61605.19,79,76,40076,779.8125316455696,196
2011-08-05,19510.3,52,47,12209,375.1980769230769,197
2011-08-07,7576.96,29,28,5185,261.2744827586207,198
2011-08-08,19602.62,37,37,12437,529.8005405405405,199
2011-08-09,25730.78,39,37,15822,659.7635897435897,200
2011-08-10,19483.56,43,42,12323,453.10604651162794,201
2011-08-11,51721.17,63,57,36463,820.9709523809523,202
2011-08-12,17677.52,46,40,11039,384.29391304347826,203
2011-08-14,5718.57,25,21,3180,228.7428,204
2011-08-15,17135.97,48,46,10175,356.99937500000004,205
2011-08-16,15986.84,49,43,10470,326.26204081632653,206
2011-08-17,48556.11,51,45,24825,952.0805882352942,207
2011-08-18,54002.41,67,64,34069,806.0061194029852,208
2011-08-19,16914.59,54,53,10649,313.23314814814813,209
2011-08-21,14476.84,38,36,8158,380.9694736842105,210
2011-08-22,29421.18,63,57,15531,467.0028571428571,211
2011-08-23,22204.11,58,55,13696,382.8294827586207,212
2011-08-24,38342.91,72,59,27454,532.5404166666667,213
2011-08-25,22051.29,72,68,13153,306.2679166666667,214
2011-08-26,23872.64,43,40,16777,555.1776744186046,215
2011-08-28,10805.03,37,36,6774,292.02783783783786,216
2011-08-30,8746.54,23,23,4211,380.284347826087,217
2011-08-31,19997.84,39,38,11526,512.7651282051282,218
2011-09-01,36802.36,75,68,27718,490.6981333333333,219
2011-09-02,29183.79,63,57,15410,463.2347619047619,220
2011-09-04,16843.03,49,45,10896,343.73530612244895,221
2011-09-05,35314.7,67,57,22400,527.0850746268657,222
2011-09-06,25187.82,60,53,14460,419.79699999999997,223
2011-09-07,21826.420000000002,45,41,13723,485.0315555555556,224
2011-09-08,22955.3,71,62,16029,323.31408450704225,225
2011-09-09,24915.99,57,51,16021,437.1226315789474,226
2011-09-11,35259.67,75,68,21132,470.1289333333333,227
2011-09-12,27989.4,67,62,16438,417.7522388059702,228
2011-09-13,47995.63,63,61,35013,761.8353968253967,229
2011-09-14,21937.95,65,58,13433,337.5069230769231,230
2011-09-15,69687.57,76,67,27657,916.9417105263159,231
2011-09-16,23104.98,46,44,14118,502.2821739130435,232
2011-09-18,15744.08,27,25,8993,583.1140740740741,233
2011-09-19,46041.22,68,62,29230,677.0767647058824,234
2011-09-20,103338.45999999999,67,53,42507,1542.3650746268656,235
2011-09-21,37259.51,67,65,19614,556.1120895522388,236
2011-09-22,57316.72,109,93,32749,525.8414678899082,237
2011-09-23,31339.37,58,56,19768,540.3339655172414,238
2011-09-25,31174.66,75,74,19496,415.6621333333333,239
2011-09-26,28575.761,65,62,15307,439.6270923076923,240
2011-09-27,29187.36,75,67,19528,389.1648,241
2011-09-28,38533.25,80,72,23854,481.665625,242
2011-09-29,44457.37,103,93,26961,431.6249514563107,243
2011-09-30,39858.44,69,60,21636,577.6585507246377,244
2011-10-02,11582.95,34,32,8375,340.675,245
2011-10-03,58266.8,63,47,24576,924.8698412698413,246
2011-10-04,38593.29,74,65,23113,521.530945945946,247
2011-10-05,73529.43,93,82,45898,790.6390322580644,248
2011-10-06,59775.05,115,98,34540,519.7830434782609,249
2011-10-07,48662.67,85,74,29663,572.502,250
2011-10-09,12466.81,38,35,7534,328.07394736842105,251
2011-10-10,42318.72,90,83,25036,470.208,252
2011-10-11,46152.77,77,68,26614,599.3866233766233,253
2011-10-12,26944.39,80,71,16153,336.804875,254
2011-10-13,32560.18,73,67,17873,446.0298630136986,255
2011-10-14,31213.7,67,59,17196,465.87611940298507,256
2011-10-16,22010.57,35,32,8769,628.8734285714286,257
2011-10-17,45278.73,83,75,30117,545.5268674698796,258
2011-10-18,36963.4,77,73,26886,480.04415584415585,259
2011-10-19,30912.17,76,70,18240,406.7390789473684,260
2011-10-20,60829.81,85,75,40884,715.6448235294117,261
2011-10-21,60222.26,62,56,24212,971.3267741935484,262
2011-10-23,12288.78,41,39,7071,299.72634146341466,263
2011-10-24,37040.08,71,60,23181,521.6912676056338,264
2011-10-25,35181.87,71,64,25370,495.5192957746479,265
2011-10-26,33734.32,90,75,20282,374.8257777777778,266
2011-10-27,47015.02,101,89,32537,465.4952475247525,267
2011-10-28,36702.45,65,60,23004,564.6530769230769,268
2011-10-30,34154.69,96,88,20022,355.77802083333336,269
2011-10-31,31971.99,63,61,15161,507.4919047619048,270
2011-11-01,28850.81,75,73,16565,384.6774666666667,271
2011-11-02,38662.7,83,79,26667,465.81566265060235,272
2011-11-03,60127.77,99,86,32655,607.3512121212121,273
2011-11-04,55687.89,87,73,33585,640.0906896551724,274
2011-11-06,42581.6,101,88,23271,421.59999999999997,275
2011-11-07,28500.24,89,80,16426,320.2274157303371,276
2011-11-08,38045.52,98,94,21627,388.21959183673465,277
2011-11-09,61007.93,118,101,35807,517.0163559322034,278
2011-11-10,68238.81,123,111,38047,554.7870731707317,279
2011-11-11,36385.42,92,87,23903,395.49369565217387,280
2011-11-13,28607.49,83,75,19763,344.6685542168675,281
2011-11-14,56784.0,104,93,32144,546.0,282
2011-11-15,46625.200000000004,103,93,26819,452.6718446601942,283
2011-11-16,48082.76,124,111,29136,387.76419354838714,284
2011-11-17,54500.72,135,125,30276,403.70903703703704,285
2011-11-18,35813.25,103,98,20259,347.7014563106796,286
2011-11-20,29976.920000000002,98,91,18755,305.8869387755102,287
2011-11-21,44721.06,96,85,24549,465.84437499999996,288
2011-11-22,48772.44,129,120,30007,378.08093023255816,289
2011-11-23,70492.92,129,107,38400,546.4567441860465,290
2011-11-24,38045.11,108,98,22895,352.269537037037,291
2011-11-25,26154.96,73,69,14195,358.2871232876712,292
2011-11-27,17294.68,56,51,10516,308.8335714285714,293
2011-11-28,49944.91,114,97,28043,438.1132456140351,294
2011-11-29,48423.68,126,109,25959,384.3149206349206,295
2011-11-30,40946.98,98,91,24428,417.8263265306123,296
2011-12-01,44263.35,118,111,24836,375.1131355932203,297
2011-12-02,44316.69,114,95,25614,388.7428947368421,298
2011-12-04,20141.96,62,58,11422,324.87032258064517,299
2011-12-05,55970.6,115,105,37610,486.7008695652174,300
2011-12-06,45584.19,110,103,27798,414.40172727272727,301
2011-12-07,68714.21,104,94,41081,660.7135576923077,302
2011-12-08,50214.15,113,105,27536,444.37300884955755,303
2011-12-09,184190.28,41,35,90573,4492.445853658536,304
